verification_service-1      | INFO:     172.18.0.6:55024 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55032 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55038 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55052 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55064 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55068 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55072 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55078 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55088 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55092 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55098 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55114 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55118 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55124 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55130 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55134 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55140 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55152 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55158 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55162 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55172 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55188 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55200 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55212 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55228 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55236 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55238 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55242 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55244 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55254 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55268 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55280 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55284 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.6:55290 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:52444 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:52448 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.8:57714 - "POST /verify HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:56450 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:56454 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:32876 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:46478 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:58040 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:40890 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:55600 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:54122 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:53230 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:38056 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:41466 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:51372 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:49270 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60454 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:54306 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60462 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:53972 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:53678 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:42662 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:45896 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:45380 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:53688 - "GET /db/health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:38360 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:43502 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:47340 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:59046 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:41392 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:43514 - "GET /db/health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:37630 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:39494 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60128 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:45014 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:36292 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60142 - "GET /db/health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:35550 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:54890 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:37406 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58444 - "GET /health HTTP/1.1" 200 OK
